,newsdesc,newstitle,titledesc
325,"Akhir Oktober 2017, pembayaran tol seluruhnya akan menggunakan kartu tol dalam transaksi pada gerbang-gerbang tol.","Menteri PUPR: Akhir Oktober 2017, Bayar Tol Semua Pakai Kartu","Akhir Oktober 2017, pembayaran tol seluruhnya akan menggunakan kartu tol dalam transaksi pada gerbang-gerbang tol. Menteri PUPR: Akhir Oktober 2017, Bayar Tol Semua Pakai Kartu"
326,"Tahun ini, Hapernas mengusung tema ""Rumah Layak Huni Menuju Masyarakat Sejahtera"".","Jelang Hapernas, Kementerian PUPR Beri FSU ke Pengembang","Tahun ini, Hapernas mengusung tema ""Rumah Layak Huni Menuju Masyarakat Sejahtera"". Jelang Hapernas, Kementerian PUPR Beri FSU ke Pengembang"
327,Caranya dengan program Quick Win Pembangunan Terpadu Pesisir Ibukota Negara (PTPIN) atau National Capital Integrated Coastal Development (NCICD).,Ini Jurus Kementerian PUPR Cegah Penurunan Muka Tanah Jakarta,Caranya dengan program Quick Win Pembangunan Terpadu Pesisir Ibukota Negara (PTPIN) atau National Capital Integrated Coastal Development (NCICD). Ini Jurus Kementerian PUPR Cegah Penurunan Muka Tanah Jakarta
328,"Kementerian PUPR mendapat alokasi anggaran terbesar dalam RAPBN 2018 sebesar Rp106,9 triliun.","Kementerian PUPR Dapat Rp106,9 Triliun di 2018 Buat Infrastruktur","Kementerian PUPR mendapat alokasi anggaran terbesar dalam RAPBN 2018 sebesar Rp106,9 triliun. Kementerian PUPR Dapat Rp106,9 Triliun di 2018 Buat Infrastruktur"
329,Kementerian PUPR menargetkan dapat meningkatkan peringkat daya saing infrastruktur.,Ini Cara Kementerian PUPR Dongkrak Daya Saing Infrastruktur,Kementerian PUPR menargetkan dapat meningkatkan peringkat daya saing infrastruktur. Ini Cara Kementerian PUPR Dongkrak Daya Saing Infrastruktur
330,DPR belum mengajukan surat permohonan renovasi.,BURT Telepon Menteri PUPR Mau Renovasi Gedung DPR,DPR belum mengajukan surat permohonan renovasi. BURT Telepon Menteri PUPR Mau Renovasi Gedung DPR
331,Jalan Tol Semarang-Solo khususnya Ruas Bawen-Salatiga yang terkenal dengan panorama Gunung Merbabu telah rampung.,Menteri PUPR: Seluruh Tol Trans Jawa Tersambung di Akhir 2018,Jalan Tol Semarang-Solo khususnya Ruas Bawen-Salatiga yang terkenal dengan panorama Gunung Merbabu telah rampung. Menteri PUPR: Seluruh Tol Trans Jawa Tersambung di Akhir 2018
332,Hal ini bertujuan untuk memperkuat perekonomian masyarakat.,"Kembangkan Infrastruktur, Kemen PUPR Perkuat Kawasan Perbatasan","Hal ini bertujuan untuk memperkuat perekonomian masyarakat. Kembangkan Infrastruktur, Kemen PUPR Perkuat Kawasan Perbatasan"
333,"Masyarakat bisa mendapat informasi tentang ""progress"" pembangunan Trans Papua.",Kemen PUPR Undang Pengunjung 'Motoran' di Papua di GIIAS 2017,"Masyarakat bisa mendapat informasi tentang ""progress"" pembangunan Trans Papua. Kemen PUPR Undang Pengunjung 'Motoran' di Papua di GIIAS 2017"
334,Kesejahteraan petani juga harus didorong mencapai standar kelayakan.,Kemen PUPR Siap Kembangkan Potensi Kopi dan Lada di Empat Lawang,Kesejahteraan petani juga harus didorong mencapai standar kelayakan. Kemen PUPR Siap Kembangkan Potensi Kopi dan Lada di Empat Lawang
335,"Hingga pukul 22.30 WIB, KPK masih menggeledah kantor PUPR Bengkalis.","Usai Kantor Bupati, KPK Geledah PUPR Bengkalis","Hingga pukul 22.30 WIB, KPK masih menggeledah kantor PUPR Bengkalis. Usai Kantor Bupati, KPK Geledah PUPR Bengkalis"
336,Basuki menilai keputusan Presiden Joko Widodo memasukkan pembangunan infrastruktur dalam program prioritas sangat tepat.,Menteri PUPR: Bangun Infrastruktur Bukan Buat Bermewah-mewah,Basuki menilai keputusan Presiden Joko Widodo memasukkan pembangunan infrastruktur dalam program prioritas sangat tepat. Menteri PUPR: Bangun Infrastruktur Bukan Buat Bermewah-mewah
337,Basuki Hadimuldjono mengatakan sulit membangun infrastruktur menggunakan dana haji.,Menteri PUPR: Sulit Pakai Dana Haji Untuk Bangun Infrastruktur,Basuki Hadimuldjono mengatakan sulit membangun infrastruktur menggunakan dana haji. Menteri PUPR: Sulit Pakai Dana Haji Untuk Bangun Infrastruktur
338,Kementerian PUPR menyiapkan jalan nasional sebagai jalan alternatif pengalihan arus lalu lintas jika terjadi kemacetan parah selama masa konstruksi.,Ini Skenario Kementerian PUPR Saat Bangun Tol Jakarta-Cikampek II,Kementerian PUPR menyiapkan jalan nasional sebagai jalan alternatif pengalihan arus lalu lintas jika terjadi kemacetan parah selama masa konstruksi. Ini Skenario Kementerian PUPR Saat Bangun Tol Jakarta-Cikampek II
339,"Diperkirakan, potensi investasi Suramadu mencapai Rp53 triliun.",Kementerian PUPR akan Kembangkan Kawasan Jembatan Suramadu,"Diperkirakan, potensi investasi Suramadu mencapai Rp53 triliun. Kementerian PUPR akan Kembangkan Kawasan Jembatan Suramadu"
340,Salah satu pendekatan yang dilakukan adalah dengan melakukan pembangunan Infrastruktur PUPR Berbasis Masyarakat.,"Lewat PISEW, Kementerian PUPR Atasi Ketimpangan Infrastruktur","Salah satu pendekatan yang dilakukan adalah dengan melakukan pembangunan Infrastruktur PUPR Berbasis Masyarakat. Lewat PISEW, Kementerian PUPR Atasi Ketimpangan Infrastruktur"
341,Aspal yang dihasilkan lebih lengket jika dibandingkan dengan yang tidak menggunakan plastik.,Kemen PUPR Kembangkan Pemanfaatan Limbah Plastik untuk Aspal,Aspal yang dihasilkan lebih lengket jika dibandingkan dengan yang tidak menggunakan plastik. Kemen PUPR Kembangkan Pemanfaatan Limbah Plastik untuk Aspal
342,Pentingnya kesadaran masyarakat dalam berlalu lintas sangat menentukan kesuksesan program ini. ,Kementerian PUPR Bertanggungjawab Bangun Jalan dan Jembatan,Pentingnya kesadaran masyarakat dalam berlalu lintas sangat menentukan kesuksesan program ini.  Kementerian PUPR Bertanggungjawab Bangun Jalan dan Jembatan
343,Program P3-TGAI tersebut merupakan salah satu program pembangunan Infrastruktur Berbasis Masyarakat.,Kementerian PUPR Tingkatkan Terus Layanan Irigasi Perdesaan,Program P3-TGAI tersebut merupakan salah satu program pembangunan Infrastruktur Berbasis Masyarakat. Kementerian PUPR Tingkatkan Terus Layanan Irigasi Perdesaan
344,"Setiap 1 kilometer jalan dengan lebar 7 meter, membutuhkan campuran limbah plastik sebanyak 2,5 hingga 5 ton. ",Kementerian PUPR: Limbah Plastik Untuk Aspal Bisa Jadi Solusi,"Setiap 1 kilometer jalan dengan lebar 7 meter, membutuhkan campuran limbah plastik sebanyak 2,5 hingga 5 ton.  Kementerian PUPR: Limbah Plastik Untuk Aspal Bisa Jadi Solusi"
345,"Prasarana pengendali banjir yang kini tengah dibangun, tiga diantaranya masing-masing akan memiliki panjang 250 meter.",Kementerian PUPR Bangun Empat Prasarana Pengendali Banjir di Riau,"Prasarana pengendali banjir yang kini tengah dibangun, tiga diantaranya masing-masing akan memiliki panjang 250 meter. Kementerian PUPR Bangun Empat Prasarana Pengendali Banjir di Riau"
346,Jakarta mengalami penurunan muka tanah 5-12 cm per tahun.,"Gandeng Jepang, Kementerian PUPR Atasi Penurunan Muka Tanah","Jakarta mengalami penurunan muka tanah 5-12 cm per tahun. Gandeng Jepang, Kementerian PUPR Atasi Penurunan Muka Tanah"
347,Kementerian PUPR hari ini secara resmi telah menguji cobakan pemasangan aspal berbahan campuran plastik di Bali.,"Agustus, Kementerian PUPR Campur Aspal dan Plastik di Bekasi","Kementerian PUPR hari ini secara resmi telah menguji cobakan pemasangan aspal berbahan campuran plastik di Bali. Agustus, Kementerian PUPR Campur Aspal dan Plastik di Bekasi"
348,Kementerian PUPR saat ini tengah berusaha mengubah sampah plastik menjadi barang yang bernilai guna.,Kementerian PUPR Gunakan Aspal Campuran Plastik di Bali,Kementerian PUPR saat ini tengah berusaha mengubah sampah plastik menjadi barang yang bernilai guna. Kementerian PUPR Gunakan Aspal Campuran Plastik di Bali
349," Intinya bahwa pembiayaan infrastruktur tidak lagi bertumpu dari APBN/D, tapi memberikan peluang yang sebesar-besarnya pada swasta.",Kementerian PUPR Pakai Skema KPBU Untuk Infrastruktur Daerah," Intinya bahwa pembiayaan infrastruktur tidak lagi bertumpu dari APBN/D, tapi memberikan peluang yang sebesar-besarnya pada swasta. Kementerian PUPR Pakai Skema KPBU Untuk Infrastruktur Daerah"
350,Pembangunan infrastruktur yang didanai Dana Alokasi Khusus (DAK) Bidang Infrastruktur 2017 harus terpadu dalam perencanaan. ,Kementerian PUPR Minta Pemda Percepat Infrastruktur Lewat DAK,Pembangunan infrastruktur yang didanai Dana Alokasi Khusus (DAK) Bidang Infrastruktur 2017 harus terpadu dalam perencanaan.  Kementerian PUPR Minta Pemda Percepat Infrastruktur Lewat DAK
351, Kementerian PUPR mendapatkan anggaran tambahan Rp 65 miliar dalam APBN-P 2017.,Kementerian PUPR akan Bangun dan Rehabilitasi Irigasi Kecil, Kementerian PUPR mendapatkan anggaran tambahan Rp 65 miliar dalam APBN-P 2017. Kementerian PUPR akan Bangun dan Rehabilitasi Irigasi Kecil
352,Jalan tol ditargetkan selesai pada 2019.,Kementerian PUPR Percepat Pembangunan Infrastruktur di Riau,Jalan tol ditargetkan selesai pada 2019. Kementerian PUPR Percepat Pembangunan Infrastruktur di Riau
353,Kementerian PUPR terus berupaya memenuhi target Program Satu Juta Rumah khususnya bagi Masyarakat Berpenghasilan Rendah.,Kementerian PUPR akan Tingkatkan Kontrol Kualitas Rumah Subsidi,Kementerian PUPR terus berupaya memenuhi target Program Satu Juta Rumah khususnya bagi Masyarakat Berpenghasilan Rendah. Kementerian PUPR akan Tingkatkan Kontrol Kualitas Rumah Subsidi
354,"Kementerian PUPR juga mendukung pembangunan rumah bersubsidi, yakni di Perumahan Griya Setia Bangsa.",Kementerian PUPR Bangun 1.147 unit Rumah Subsidi di Riau,"Kementerian PUPR juga mendukung pembangunan rumah bersubsidi, yakni di Perumahan Griya Setia Bangsa. Kementerian PUPR Bangun 1.147 unit Rumah Subsidi di Riau"
355,Jalan tol tersebut terbagi menjadi enam seksi dengan nilai investasi Rp 58 triliun dengan target selesai pada tahun 2019.,Kementerian PUPR Percepat Proyek Tol Pekanbaru - Dumai,Jalan tol tersebut terbagi menjadi enam seksi dengan nilai investasi Rp 58 triliun dengan target selesai pada tahun 2019. Kementerian PUPR Percepat Proyek Tol Pekanbaru - Dumai
356,Pembangunan infrastruktur tidak hanya untuk mendorong perkembangan ekonomi di kawasan perkotaan.,Kementerian PUPR Bangun Infrastruktur Strategis di Papua Barat,Pembangunan infrastruktur tidak hanya untuk mendorong perkembangan ekonomi di kawasan perkotaan. Kementerian PUPR Bangun Infrastruktur Strategis di Papua Barat
358,Jusuf Kalla mengatakan pembangunan sarana pendukung Asian Games 2018 berjalan sesuai jadwal dan sebagian besar.,Kementerian PUPR Siapkan Fasilitas Wisma Atlet Asian Games,Jusuf Kalla mengatakan pembangunan sarana pendukung Asian Games 2018 berjalan sesuai jadwal dan sebagian besar. Kementerian PUPR Siapkan Fasilitas Wisma Atlet Asian Games
359,Djarot ingin melakukan soft launching Simpang Susun Semanggi pada 29 Juli 2017.,Djarot dan Menteri PUPR Bahas Banyak Proyek di Pertemuan Tertutup,Djarot ingin melakukan soft launching Simpang Susun Semanggi pada 29 Juli 2017. Djarot dan Menteri PUPR Bahas Banyak Proyek di Pertemuan Tertutup
360,Pembangunan Rusun Ponpes merupakan bagian dari mendukung Program Sejuta Rumah.,Kementerian PUPR Bangun Rusun Ponpes di 22 Lokasi,Pembangunan Rusun Ponpes merupakan bagian dari mendukung Program Sejuta Rumah. Kementerian PUPR Bangun Rusun Ponpes di 22 Lokasi
361,Indonesia dan Jepang telah melakukan banyak kerja sama.,"Menteri PUPR Dapat ""Award"" dari Perhimpunan Insinyur Sipil Jepang","Indonesia dan Jepang telah melakukan banyak kerja sama. Menteri PUPR Dapat ""Award"" dari Perhimpunan Insinyur Sipil Jepang"
362,"Bendungan yang dimulai pembangunannya sejak tahun 2014 tersebut memiliki luas genangan 94,80 hektar dengan kapasitas 2,43 juta meter kubik.",Kementerian PUPR Targetkan Bendungan Teritip Kelar Akhir 2016,"Bendungan yang dimulai pembangunannya sejak tahun 2014 tersebut memiliki luas genangan 94,80 hektar dengan kapasitas 2,43 juta meter kubik. Kementerian PUPR Targetkan Bendungan Teritip Kelar Akhir 2016"
363,Pembangunan infrastruktur juga akan mengintegrasikan industri yang ada di Aceh.,Ini Proyek Infrastruktur yang Dibangun Kementerian PUPR di Aceh,Pembangunan infrastruktur juga akan mengintegrasikan industri yang ada di Aceh. Ini Proyek Infrastruktur yang Dibangun Kementerian PUPR di Aceh
364,"Setelah disahkan, pemerintah memiliki tugas penting lainnya untuk menyiapkan perangkat implementasi dari UU tersebut.",DPR dan Kementerian PUPR Sahkan UU Arsitek,"Setelah disahkan, pemerintah memiliki tugas penting lainnya untuk menyiapkan perangkat implementasi dari UU tersebut. DPR dan Kementerian PUPR Sahkan UU Arsitek"
365,Kesepakatan kerja sama sudah disepakati sejak 2011.,Kemen PUPR Perluas Kerja Sama Infrastruktur dengan Timor Leste,Kesepakatan kerja sama sudah disepakati sejak 2011. Kemen PUPR Perluas Kerja Sama Infrastruktur dengan Timor Leste
366,Kerjasama kedua negara merupakan bentuk komitmen Indonesia untuk meningkatkan Kerja Sama Selatan Selatan dan Triangular.,Kementerian PUPR Kerjasama Insfrastruktur Dengan Timor Leste,Kerjasama kedua negara merupakan bentuk komitmen Indonesia untuk meningkatkan Kerja Sama Selatan Selatan dan Triangular. Kementerian PUPR Kerjasama Insfrastruktur Dengan Timor Leste
367,"Pada masa arus mudik sejak 15-27 Juni 2017, mobil toilet melayani pemudik di TI KM 166 dan KM 207 tol Jakarta-Cipali-Pejagan.",Begini Cara Kementerian PUPR Atasi Problem Jalan Tol Saat Mudik,"Pada masa arus mudik sejak 15-27 Juni 2017, mobil toilet melayani pemudik di TI KM 166 dan KM 207 tol Jakarta-Cipali-Pejagan. Begini Cara Kementerian PUPR Atasi Problem Jalan Tol Saat Mudik"
368,"Jalan alternatif yang akan dibangun, yakni dari Ciawi-Cikijing, lalu masuk Jalan Lingkar Jatigede-Sumedang-Bandung.",Kementerian PUPR Bangun Jalan Baru di Jalur Selatan Jawa,"Jalan alternatif yang akan dibangun, yakni dari Ciawi-Cikijing, lalu masuk Jalan Lingkar Jatigede-Sumedang-Bandung. Kementerian PUPR Bangun Jalan Baru di Jalur Selatan Jawa"
369,Inovasi terbaru Kementerian PUPR adalah Portal Situation Room dan Sistem Tata Naskah Dinas Elektronik (TNDE),Ini Jurus Kementerian PUPR Percepat Proyek Infrastruktur,Inovasi terbaru Kementerian PUPR adalah Portal Situation Room dan Sistem Tata Naskah Dinas Elektronik (TNDE) Ini Jurus Kementerian PUPR Percepat Proyek Infrastruktur
370,Basuki menuturkan program tersebut sejalan dengan upaya pemerintah untuk mengatasi produksi sampah plastik di Indonesia.,Menteri PUPR Jadikan Bekasi Pilot Project Sampah Plastik,Basuki menuturkan program tersebut sejalan dengan upaya pemerintah untuk mengatasi produksi sampah plastik di Indonesia. Menteri PUPR Jadikan Bekasi Pilot Project Sampah Plastik
372,Sementara ruas tol darurat trans Jawa dari Brebes Timur hingga Gringsing sepanjang 110 Km akan segera diselesaikan.,"2018, Menteri PUPR akan Bangun Jalan Layang Nagreg dan Limbangan","Sementara ruas tol darurat trans Jawa dari Brebes Timur hingga Gringsing sepanjang 110 Km akan segera diselesaikan. 2018, Menteri PUPR akan Bangun Jalan Layang Nagreg dan Limbangan"
373,Pemerintah memulai persiapan berupa studi pendahuluan pemulihan atau restorasi Danau Sentarum di Kalimantan Barat.,Kementerian PUPR Akan Restorasi Danau Sentarum di Kalbar,Pemerintah memulai persiapan berupa studi pendahuluan pemulihan atau restorasi Danau Sentarum di Kalimantan Barat. Kementerian PUPR Akan Restorasi Danau Sentarum di Kalbar
374,"Antisipasi jalan rusak dan longsor saat Lebaran, Kementerian PUPR memantau melalui PPKJN.
",Kementerian PUPR Pantau Jalan Rusak dan Longsor Pakai PPKJN,"Antisipasi jalan rusak dan longsor saat Lebaran, Kementerian PUPR memantau melalui PPKJN.
 Kementerian PUPR Pantau Jalan Rusak dan Longsor Pakai PPKJN"
375,Pembangunan dilakukan di Kabupaten Temanggung.,PUPR Mudahkan Akses dan Hunian dengan Jembatan dan Rusunawa,Pembangunan dilakukan di Kabupaten Temanggung. PUPR Mudahkan Akses dan Hunian dengan Jembatan dan Rusunawa
376,Kementerian PUPR juga telah menuntaskan berbagai infrastruktur yang bersifat padat karya di Temanggung.,Kementerian PUPR Bangun Bendungan Progo Pristan di Temanggung,Kementerian PUPR juga telah menuntaskan berbagai infrastruktur yang bersifat padat karya di Temanggung. Kementerian PUPR Bangun Bendungan Progo Pristan di Temanggung
377,Rusunawa terdiri dari 5 lantai dengan type unit 24 berjumlah 114 unit yang dapat dihuni 228 jiwa.,Kementerian PUPR Bangun Rusun Parakan Wetan di Temanggung,Rusunawa terdiri dari 5 lantai dengan type unit 24 berjumlah 114 unit yang dapat dihuni 228 jiwa. Kementerian PUPR Bangun Rusun Parakan Wetan di Temanggung
378,Banjir rob ditandai dengan masuknya air laut yang pasang menggenangi daratan.,"Cegah Banjir Rob, Kementerian PUPR Bangun 5 Polder","Banjir rob ditandai dengan masuknya air laut yang pasang menggenangi daratan. Cegah Banjir Rob, Kementerian PUPR Bangun 5 Polder"
379,Kementerian PUPR mendorong penyelesaian pembangunan empat jalan tol baru. ,Ini 4 Jalan Tol Baru di Banten Yang Dikebut Kementerian PUPR,Kementerian PUPR mendorong penyelesaian pembangunan empat jalan tol baru.  Ini 4 Jalan Tol Baru di Banten Yang Dikebut Kementerian PUPR
380,Kementerian PUPR tengah menyiapkan sejumlah proyek guna menyukseskan event Pertemuan Tahunan IMF-World Bank.,Menteri PUPR: Infrastruktur Pertemuan IMF-Bank Dunia Telah Siap,Kementerian PUPR tengah menyiapkan sejumlah proyek guna menyukseskan event Pertemuan Tahunan IMF-World Bank. Menteri PUPR: Infrastruktur Pertemuan IMF-Bank Dunia Telah Siap
381,Ada 4 fokus utama pekerjaan yang harus diselesaikan.,Kemen PUPR Fokus Selesaikan Infrastruktur Strategis pada 2018,Ada 4 fokus utama pekerjaan yang harus diselesaikan. Kemen PUPR Fokus Selesaikan Infrastruktur Strategis pada 2018
382,Progres fisik dan keuangan bulan ini lebih baik dibanding bulan yang sama tahun 2016. ,Inilah Progres Penyerapan Anggaran Kementerian PUPR 2017,Progres fisik dan keuangan bulan ini lebih baik dibanding bulan yang sama tahun 2016.  Inilah Progres Penyerapan Anggaran Kementerian PUPR 2017
383,Basuki Hadimuljono mengingatkan kepada seluruh satuan kerja Kementerian PUPR di daerah agar mempertajam program kerja tahun 2018.,"Pagu Indikasi Kementerian PUPR Tahun 2018 Rp106,02 Triliun","Basuki Hadimuljono mengingatkan kepada seluruh satuan kerja Kementerian PUPR di daerah agar mempertajam program kerja tahun 2018. Pagu Indikasi Kementerian PUPR Tahun 2018 Rp106,02 Triliun"
384,Kementerian membuat Posko Siaga Sapta Taruna Bina Marga di beberapa titik di ruas jalan nasional.,Kementerian PUPR Akui Jalur Selatan Rawan Longsor dan Banjir,Kementerian membuat Posko Siaga Sapta Taruna Bina Marga di beberapa titik di ruas jalan nasional. Kementerian PUPR Akui Jalur Selatan Rawan Longsor dan Banjir
385,Menteri PUPR Basuki Hadimuljono menelusuri jalur Pantai Utara Jawa.,"Dua Pekan Jelang Lebaran, Menteri PUPR Cek Kesiapan Jalan","Menteri PUPR Basuki Hadimuljono menelusuri jalur Pantai Utara Jawa. Dua Pekan Jelang Lebaran, Menteri PUPR Cek Kesiapan Jalan"
386,Embung berfungsi untuk menampung air hujan dan lokasi wisata.,Kementerian PUPR Bangun 830 Embung di Seluruh Indonesia,Embung berfungsi untuk menampung air hujan dan lokasi wisata. Kementerian PUPR Bangun 830 Embung di Seluruh Indonesia
387,Sejak 2011 Indonesia telah berkomitmen untuk menurunkan emisi Gas Rumah Kaca.,Inilah Kelebihan Konsep Green Building Kementerian PUPR,Sejak 2011 Indonesia telah berkomitmen untuk menurunkan emisi Gas Rumah Kaca. Inilah Kelebihan Konsep Green Building Kementerian PUPR
388, Salah satu program strategis Kementerian PUPR adalah penataan kumuh pesisir dan juga pembangunan rumah khusus untuk nelayan.,Kementerian PUPR Tata Permukiman Nelayan di 11 Lokasi, Salah satu program strategis Kementerian PUPR adalah penataan kumuh pesisir dan juga pembangunan rumah khusus untuk nelayan. Kementerian PUPR Tata Permukiman Nelayan di 11 Lokasi
389,Pemerintah akan memfungsikan tiga ruas tol untuk dilalui pemudik secara gratis mulai dari Brebes Timur sampai Weleri sepanjang 110 kilometer.,"Lebaran 2017, Kementerian PUPR Operasikan Tiga Jalan Tol Baru","Pemerintah akan memfungsikan tiga ruas tol untuk dilalui pemudik secara gratis mulai dari Brebes Timur sampai Weleri sepanjang 110 kilometer. Lebaran 2017, Kementerian PUPR Operasikan Tiga Jalan Tol Baru"
390,Penandatanganan kesepakatan ini juga menjadi tahapan awal agenda elektronifikasi jalan tol di Indonesia.,Kementerian PUPR akan Terapkan Pembayaran Tol Tanpa Henti,Penandatanganan kesepakatan ini juga menjadi tahapan awal agenda elektronifikasi jalan tol di Indonesia. Kementerian PUPR akan Terapkan Pembayaran Tol Tanpa Henti
391,Kementerian Pekerjaan Umum dan Perumahan Rakyat membentuk Tim Pemantauan dan Evaluasi Proyek Strategis Nasional.,"Percepat Infrastruktur, Kementerian PUPR Bentuk Tim Evaluasi PSN","Kementerian Pekerjaan Umum dan Perumahan Rakyat membentuk Tim Pemantauan dan Evaluasi Proyek Strategis Nasional. Percepat Infrastruktur, Kementerian PUPR Bentuk Tim Evaluasi PSN"
392,Basuki Hadimuljono menerima kunjungan Duta Besar Jepang yang baru untuk Indonesia Masafumi ISHII.,"Garap Lima Proyek Infrastruktur, Menteri PUPR Gandeng Jepang","Basuki Hadimuljono menerima kunjungan Duta Besar Jepang yang baru untuk Indonesia Masafumi ISHII. Garap Lima Proyek Infrastruktur, Menteri PUPR Gandeng Jepang"
393,Langkah ini dinilai berdampak besar terhadap kehidupan sosial masyarakat sekitar.,BPK Apresiasi Kementerian PUPR Menata Permukiman Kumuh,Langkah ini dinilai berdampak besar terhadap kehidupan sosial masyarakat sekitar. BPK Apresiasi Kementerian PUPR Menata Permukiman Kumuh
394,AJI mendukung korban menempuh jalur hukum untuk mencari keadilan dalam kasus kekerasan ini.,AJI Jakarta Kecam Kekerasan Protokoler Menteri PUPR Pada Jurnalis,AJI mendukung korban menempuh jalur hukum untuk mencari keadilan dalam kasus kekerasan ini. AJI Jakarta Kecam Kekerasan Protokoler Menteri PUPR Pada Jurnalis
395,"""Nanti akan diperiksa kejadiannya seperti apa,"" kata Kepala Bidang Humas Polda Metro Jaya Komisaris Besar Polisi Argo.",Polda Metro Jaya Usut Staf Menteri PUPR yang Aniaya Wartawan,"""Nanti akan diperiksa kejadiannya seperti apa,"" kata Kepala Bidang Humas Polda Metro Jaya Komisaris Besar Polisi Argo. Polda Metro Jaya Usut Staf Menteri PUPR yang Aniaya Wartawan"
396,"Elektronifikasi dilakukan untuk menciptakan layanan non tunai yang aman, cepat dan efisien.",BI dan Kementerian PUPR Perluas Kerjasama Elektronifikasi Tol,"Elektronifikasi dilakukan untuk menciptakan layanan non tunai yang aman, cepat dan efisien. BI dan Kementerian PUPR Perluas Kerjasama Elektronifikasi Tol"
397,"Tahun 2017, Direktorat Jenderal Cipta Karya melakukan program Sanimas pada 126 lokasi.","Kementerian PUPR Alokasikan Rp1,9 triliun Untuk Program Sanimas","Tahun 2017, Direktorat Jenderal Cipta Karya melakukan program Sanimas pada 126 lokasi. Kementerian PUPR Alokasikan Rp1,9 triliun Untuk Program Sanimas"
398,Tujuannya untuj meningkatkan pelayanan publik pada jalan nasional dan mengembangkan potensi ekonomi kawasan.,Kementerian PUPR Bangun Anjungan Cerdas Untuk Pengguna Jalan,Tujuannya untuj meningkatkan pelayanan publik pada jalan nasional dan mengembangkan potensi ekonomi kawasan. Kementerian PUPR Bangun Anjungan Cerdas Untuk Pengguna Jalan
399,"Ketiganya dan rombongan disambut langsung Gubernur Sumatera Selatan, Alex Noerdin.","Tinjau Proyek Asian Games, Menteri PUPR-Menkeu-Menhub Sambangi Palembang","Ketiganya dan rombongan disambut langsung Gubernur Sumatera Selatan, Alex Noerdin. Tinjau Proyek Asian Games, Menteri PUPR-Menkeu-Menhub Sambangi Palembang"
400,Kebutuhan beton pra cetak meningkat lima kali lipat di atas kemampuan produksi.,"Menteri PUPR Dukung Pengembangan Industri ""Precast"" Nasional","Kebutuhan beton pra cetak meningkat lima kali lipat di atas kemampuan produksi. Menteri PUPR Dukung Pengembangan Industri ""Precast"" Nasional"
401,"Untuk KPR FLPP, hingga Mei 2017 sudah tersalurkan sebesar Rp439 miliar untuk 3.849 unit.","Tahun Ini Kementerian PUPR Targetkan KPR Subsidi Rp11,47 Triliun","Untuk KPR FLPP, hingga Mei 2017 sudah tersalurkan sebesar Rp439 miliar untuk 3.849 unit. Tahun Ini Kementerian PUPR Targetkan KPR Subsidi Rp11,47 Triliun"
402,Menteri PUPR Basuki Hadimuljono optimis pembangunan dan renovasi venue olahraga selesai Oktober 2017.,Kementerian PUPR Kebut Venue Lapangan Sepak Bola ABC,Menteri PUPR Basuki Hadimuljono optimis pembangunan dan renovasi venue olahraga selesai Oktober 2017. Kementerian PUPR Kebut Venue Lapangan Sepak Bola ABC
403, Target ini akan menambah 719 embung yang sudah selesai dibangun dua tahun sebelumnya (2015-2016).,"Tahun Ini, 111 Embung Baru Selesai Dibangun Kementerian PUPR"," Target ini akan menambah 719 embung yang sudah selesai dibangun dua tahun sebelumnya (2015-2016). Tahun Ini, 111 Embung Baru Selesai Dibangun Kementerian PUPR"
404,Pembangunannya diharapkan mendorong potensi pariwisata yang ada di lingkar Wilis yang nanti akan terkoneksi dengan bandar udara di Kediri.,Kementerian PUPR Akan Bangun Jalan Selingkar Wilis di Kediri,Pembangunannya diharapkan mendorong potensi pariwisata yang ada di lingkar Wilis yang nanti akan terkoneksi dengan bandar udara di Kediri. Kementerian PUPR Akan Bangun Jalan Selingkar Wilis di Kediri
405,Jembatan tersebut akan menghubungkan Kecamatan Ngadiluwih dengan Kecamatan Mojo.,Kementerian PUPR Bangun Jembatan Ngadiluwih Kediri,Jembatan tersebut akan menghubungkan Kecamatan Ngadiluwih dengan Kecamatan Mojo. Kementerian PUPR Bangun Jembatan Ngadiluwih Kediri
406,"Ruas Wamena-Habema-Kenyam-Mumugu merupakan bagian dari segmen 5 Trans Papua dengan panjang 284,3 km.","Garap Proyek Jalan Trans Papua, Kementerian PUPR Libatkan TNI AD","Ruas Wamena-Habema-Kenyam-Mumugu merupakan bagian dari segmen 5 Trans Papua dengan panjang 284,3 km. Garap Proyek Jalan Trans Papua, Kementerian PUPR Libatkan TNI AD"
407,"Dalam 2 Tahun terakhir, anggaran pembangunan jalan yang dialokasikan untuk Provinsi Papua Barat sekitar Rp1 triliun dan Papua Rp1,6 triliun.",Menteri PUPR Optimis Jalan Trans Papua Rampung 2018,"Dalam 2 Tahun terakhir, anggaran pembangunan jalan yang dialokasikan untuk Provinsi Papua Barat sekitar Rp1 triliun dan Papua Rp1,6 triliun. Menteri PUPR Optimis Jalan Trans Papua Rampung 2018"
